Age,Flight Distance,Gender,Customer Type,Type of Travel,Class
19,2431,1,0,1,Eco
33,3090,0,0,1,Eco
45,1882,0,1,1,Eco
37,250,1,1,1,Business
25,1100,1,0,1,Eco Plus
27,2203,1,0,1,Eco
48,1614,0,1,0,Eco
60,404,1,1,1,Business
41,2236,1,1,1,Business
51,1739,1,1,1,Business
28,2245,1,1,0,Eco
36,2527,0,1,0,Eco
60,402,1,1,0,Eco
41,2331,1,1,1,Eco
38,247,0,1,1,Business
22,2161,0,0,1,Eco
16,1641,0,1,0,Eco
42,1459,1,1,1,Eco
23,1736,1,0,1,Eco
25,3347,1,0,1,Business
47,3384,0,1,1,Business
30,1826,1,0,1,Eco
60,1568,1,1,1,Business
59,2389,1,0,0,Eco
57,2497,1,1,1,Business
61,3478,1,1,1,Business
59,233,1,1,0,Eco
23,1910,0,0,1,Eco
38,483,1,1,1,Business
42,731,1,1,1,Eco
39,1869,1,0,1,Business
30,1984,0,1,0,Eco Plus
48,315,0,1,1,Business
34,2653,1,1,1,Business
47,1416,0,1,1,Business
49,1020,1,1,1,Business
23,1523,1,0,1,Eco
38,1036,1,1,1,Business
52,2919,1,1,1,Business
35,277,0,1,1,Business
35,2597,1,1,0,Eco
40,2070,1,1,1,Business
32,1449,0,0,1,Eco
36,1728,0,0,1,Eco
55,2868,0,1,1,Business
38,1784,0,0,1,Eco
38,1644,1,1,0,Eco
67,2090,0,1,0,Eco
47,1890,0,1,1,Eco
62,60,1,1,0,Eco
27,1246,1,0,1,Eco
48,3885,1,1,1,Business
41,2505,0,1,0,Eco Plus
31,1078,1,1,0,Eco
25,1957,0,0,1,Business
19,1736,0,1,0,Eco Plus
51,1392,0,1,1,Business
32,3233,0,1,1,Business
43,3492,0,0,1,Business
58,1616,0,1,0,Eco
29,2816,1,0,1,Business
40,526,0,1,1,Business
10,1539,1,0,1,Eco
41,1791,0,1,0,Eco
40,1491,0,1,1,Business
40,973,0,0,1,Eco
32,1160,1,1,1,Business
41,1526,0,1,0,Eco
43,1503,1,1,1,Business
38,1122,0,1,1,Business
62,2729,1,1,1,Business
38,2112,0,1,1,Eco
25,2167,1,0,1,Eco
40,682,0,1,1,Business
36,1498,1,0,1,Eco
56,1470,0,1,1,Eco Plus
51,3168,1,1,1,Business
57,596,0,1,1,Business
56,2594,1,1,1,Business
21,2277,1,0,1,Business
42,1635,0,1,0,Eco
53,2508,1,1,1,Business
49,2284,0,1,0,Eco
42,1651,0,1,1,Business
25,3378,1,1,0,Eco
31,2056,0,1,1,Business
52,539,1,1,0,Eco
12,2205,0,1,0,Eco
55,408,0,1,1,Business
27,1822,1,1,1,Business
24,2693,1,0,1,Eco
19,1925,0,0,1,Eco
58,1657,0,1,1,Eco Plus
55,625,1,1,1,Business
51,239,1,1,0,Eco
46,701,0,1,1,Business
40,1738,0,1,0,Eco
16,1491,0,0,1,Eco
55,3498,0,1,1,Business
13,1332,1,1,0,Eco
63,1951,0,1,1,Eco
46,3463,0,1,1,Business
24,2085,0,0,1,Eco
21,1819,0,1,0,Eco
65,1481,1,1,0,Eco
48,1020,0,1,1,Eco Plus
13,2463,1,1,0,Business
33,1776,1,0,1,Eco
20,2865,0,1,0,Eco
28,5216,0,1,1,Business
56,4177,1,1,1,Business
27,1857,0,1,1,Eco Plus
29,3941,0,1,1,Business
58,2899,1,1,1,Business
45,1047,1,1,0,Eco
36,1655,0,1,1,Eco
23,2869,1,1,0,Eco
54,456,1,1,0,Eco
29,3499,0,1,1,Business
57,3154,1,0,1,Eco
51,572,1,1,1,Business
17,1466,1,1,1,Eco
50,1872,0,1,1,Business
31,1257,0,1,0,Eco
51,398,1,1,0,Eco
49,1648,0,1,1,Eco
50,3709,1,1,1,Business
18,1132,0,0,1,Eco
37,3303,0,1,1,Business
44,228,1,1,1,Business
35,3072,1,1,1,Eco
16,1242,0,1,0,Eco
56,57,0,1,1,Business
25,2224,1,0,1,Eco
66,3790,1,1,1,Business
26,4510,0,1,1,Business
45,566,1,1,1,Business
58,300,0,1,1,Business
33,473,1,1,1,Business
42,2280,0,1,1,Business
48,2740,1,1,1,Eco
25,2628,1,0,1,Business
35,596,1,1,1,Business
51,2610,1,1,1,Business
27,2175,0,1,0,Eco
52,109,1,1,0,Eco
16,1903,0,1,0,Eco
40,3230,1,1,1,Business
42,303,0,1,1,Business
51,2819,0,1,1,Business
54,223,1,1,0,Eco Plus
25,2054,0,1,0,Eco
51,624,1,1,1,Business
57,2353,1,1,0,Eco
61,1589,0,1,0,Eco
63,3805,0,1,0,Eco
68,2172,1,1,1,Business
26,1269,0,0,1,Eco Plus
36,2044,0,1,1,Eco
46,406,1,1,1,Business
39,270,0,1,1,Business
58,2508,0,1,1,Business
50,772,1,1,1,Business
23,2148,1,0,1,Eco
29,3226,0,0,1,Business
23,2446,1,1,1,Eco
13,2250,1,1,0,Eco
45,1016,0,1,1,Business
